# 
# Solution parameters:
# - mu = 1
# - rh = 0.20
# - Omega_H = 0.95
# - m = 1
# - c = 1 (radial coord compactification parameter)
#
# Convention for Wbar = r^p * W
# - p = 2
#
# Physical quantities
# - M = 0.4219558293890545
# - J = 0.31401469242351726
# - Mmat/M = 0.7312892904738739
# - Jmat/J = 0.978307001052981
#
  0.0000000000000000E+00  0.0000000000000000E+00  0.1769380682421294E+00  0.1769379953003130E+00 -0.1772785854213743E+00  0.3800000000002405E-01  0.0000000000000000E+00  0.9666249154405945E-02  0.9666248449055934E-02  0.0000000000000000E+00
  0.3846153846153846E-02  0.0000000000000000E+00  0.1769158349566542E+00  0.1769157620733048E+00 -0.1772563753797004E+00  0.3799601027673168E-01  0.0000000000000000E+00  0.9669528007706433E-02  0.9669527302539416E-02  0.0000000000000000E+00
  0.7692307692307693E-02  0.0000000000000000E+00  0.1768485274664846E+00  0.1768484546940355E+00 -0.1771891382157925E+00  0.3798392481326412E-01 -0.9592236662629996E-155  0.9679462232419346E-02  0.9679461527455342E-02  0.5670232433730845E-155
  0.1153846153846154E-01  0.0000000000000000E+00  0.1767353471110423E+00  0.1767352744627808E+00 -0.1770760761415616E+00  0.3796357806299464E-01  0.5919429980822477E-155  0.9696194354336234E-02  0.9696193649302980E-02  0.0000000000000000E+00
  0.1538461538461539E-01  0.0000000000000000E+00  0.1765756537573469E+00  0.1765755812412566E+00 -0.1769165498210656E+00  0.3793481715885574E-01  0.0000000000000000E+00  0.9719861195188816E-02  0.9719860489698185E-02  0.0000000000000000E+00
  0.1923076923076923E-01  0.0000000000000000E+00  0.1763689747273428E+00  0.1763689023495117E+00 -0.1767100872604310E+00  0.3789750294423064E-01  0.5630145032154008E-155  0.9750593386045598E-02  0.9750592679663498E-02  0.1070790081574513E-154
  0.2307692307692308E-01  0.0000000000000000E+00  0.1761150122256416E+00  0.1761149399911452E+00 -0.1764563912268733E+00  0.3785151098904393E-01  0.6486412083427449E-155  0.9788514909964628E-02  0.9788514202234991E-02 -0.1122801979398650E-154
  0.2692307692307692E-01  0.0000000000000000E+00  0.1758136491357563E+00  0.1758135770490638E+00 -0.1761553450391400E+00  0.3779673258320419E-01 -0.1102286681808414E-154  0.9833742679077160E-02  0.9833741969530914E-02  0.0000000000000000E+00
  0.3076923076923077E-01  0.0000000000000000E+00  0.1754649530491301E+00  0.1754648811142965E+00 -0.1758070165919882E+00  0.3773307569725831E-01  0.9742355277297083E-155  0.9886386151036146E-02  0.9886385439195134E-02 -0.1137070910092207E-154
  0.3461538461538462E-01  0.0000000000000000E+00  0.1750691784218308E+00  0.1750691066425960E+00 -0.1754116605094967E+00  0.3766046589915392E-01  0.0000000000000000E+00  0.9946546989300843E-02  0.9946546274680073E-02  0.0000000000000000E+00
  0.3846153846153846E-01  0.0000000000000000E+00  0.1746267667892058E+00  0.1746266951690484E+00 -0.1749697183574978E+00  0.3757884721517311E-01  0.1183910047204857E-154  0.1001431877118365E-01  0.1001431805329267E-01  0.0000000000000000E+00
  0.4230769230769231E-01  0.0000000000000000E+00  0.1741383450068323E+00  0.1741382735490011E+00 -0.1744818168834778E+00  0.3748818292244833E-01  0.0000000000000000E+00  0.1008978674695702E-01  0.1008978602530113E-01 -0.9827839562616338E-155
  0.4615384615384616E-01  0.0000000000000000E+00  0.1736047215256854E+00  0.1736046502332187E+00 -0.1739487642918792E+00  0.3738845626007632E-01  0.0000000000000000E+00  0.1017302765261966E-01  0.1017302692670093E-01  0.6583542059126820E-155
  0.5000000000000000E-01  0.0000000000000000E+00  0.1730268807493086E+00  0.1730268096250454E+00 -0.1733715446025806E+00  0.3727967104576472E-01  0.0000000000000000E+00  0.1026410957816729E-01  0.1026410884748541E-01  0.0000000000000000E+00
  0.5384615384615385E-01  0.0000000000000000E+00  0.1724059755595805E+00  0.1724059046061695E+00 -0.1727513101791316E+00  0.3716185218521979E-01  0.0000000000000000E+00  0.1036309189242230E-01  0.1036309115647542E-01 -0.9721452766343268E-155
  0.5769230769230770E-01  0.0000000000000000E+00  0.1717433181341689E+00  0.1717432473540717E+00 -0.1720893725497873E+00  0.3703504606214784E-01  0.5734062336454098E-155  0.1047002522466953E-01  0.1047002448295510E-01 -0.9845779227784173E-155
  0.6153846153846154E-01  0.0000000000000000E+00  0.1710403692117369E+00  0.1710402986072328E+00 -0.1713871916773515E+00  0.3689932079780708E-01  0.6475925206553102E-155  0.1058495150254244E-01  0.1058495075455786E-01  0.1171432645902251E-154
  0.6538461538461539E-01  0.0000000000000000E+00  0.1702987259894173E+00  0.1702986555626049E+00 -0.1706463638622680E+00  0.3675476637050897E-01  0.0000000000000000E+00  0.1070790404482311E-01  0.1070790329006647E-01  0.0000000000000000E+00
