# 
# Solution parameters:
# - rh = 0.22371
# - Omega_H = 0.99793
# - m = 1
#
# Convention for Wbar = r^p * W
# - p = 2
#
# Physical quantities
# - M = 0.127692
# - J = 0.00813421
# - j = 0.498867
# - MH/M = 0.996784
# - JH/J = 0.950822
#
# Coordinate transformation
# - c = 4
#
  0.0000000000000000E+00  0.0000000000000000E+00  0.9800767766205436E-01  0.9801335390725746E-01 -0.9801340248982587E-01 -0.2949940516363993E-30  0.4994256854034457E-01
  0.2500000000000000E-02  0.0000000000000000E+00  0.9788613073103614E-01  0.9789179492270306E-01 -0.9789184350526549E-01  0.3607975603200197E-30  0.4991353312503485E-01
  0.5000000000000000E-02  0.0000000000000000E+00  0.9752143952950139E-01  0.9752708116622684E-01 -0.9752712974877127E-01  0.3674823265479396E-29  0.4982612532829900E-01
  0.7500000000000000E-02  0.0000000000000000E+00  0.9691715744757597E-01  0.9692277427118082E-01 -0.9692282285369452E-01  0.2274371152971775E-29  0.4968031941989477E-01
  0.1000000000000000E-01  0.0000000000000000E+00  0.9608150087144830E-01  0.9608709174649253E-01 -0.9608714032896190E-01 -0.1558664477470096E-29  0.4947666527152066E-01
  0.1250000000000000E-01  0.0000000000000000E+00  0.9502696520534129E-01  0.9503252944148304E-01 -0.9503257802389339E-01  0.2726694333234003E-29  0.4921628823098530E-01
  0.1500000000000000E-01  0.0000000000000000E+00  0.9376974363351404E-01  0.9377528083232538E-01 -0.9377532941466105E-01  0.4225409212644893E-29  0.4890087538511033E-01
  0.1750000000000000E-01  0.0000000000000000E+00  0.9232899489506216E-01  0.9233450487222056E-01 -0.9233455345446434E-01 -0.3226784386588090E-29  0.4853264737975676E-01
  0.2000000000000000E-01  0.0000000000000000E+00  0.9072602252171737E-01  0.9073150526055959E-01 -0.9073155384269252E-01 -0.4078764121024553E-29  0.4811431556356684E-01
  0.2250000000000000E-01  0.0000000000000000E+00  0.8898343000705999E-01  0.8898888562545768E-01 -0.8898893420745918E-01  0.3662837677544119E-30  0.4764902524949250E-01
  0.2500000000000000E-01  0.0000000000000000E+00  0.8712431045632307E-01  0.8712973917982995E-01 -0.8712978776167755E-01 -0.2533499630938349E-29  0.4714028702101952E-01
  0.2750000000000000E-01  0.0000000000000000E+00  0.8517151770405976E-01  0.8517691984309714E-01 -0.8517696842476645E-01  0.3022862996147653E-29  0.4659189903146388E-01
  0.3000000000000000E-01  0.0000000000000000E+00  0.8314705125507670E-01  0.8315242718553331E-01 -0.8315247576699773E-01  0.4559124542426421E-30  0.4600786397204901E-01
  0.3250000000000000E-01  0.0000000000000000E+00  0.8107157224852940E-01  0.8107692239556619E-01 -0.8107697097679763E-01 -0.6079444661628723E-30  0.4539230470521496E-01
  0.3500000000000000E-01  0.0000000000000000E+00  0.7896405400643712E-01  0.7896937883127193E-01 -0.7896942741223988E-01 -0.1201355796610986E-29  0.4474938245031484E-01
  0.3750000000000000E-01  0.0000000000000000E+00  0.7684155990086755E-01  0.7684685989018784E-01 -0.7684690847086029E-01 -0.5785538407100645E-30  0.4408322092642762E-01
  0.4000000000000000E-01  0.0000000000000000E+00  0.7471913379406249E-01  0.7472440945165315E-01 -0.7472445803199584E-01  0.2213592888350561E-29  0.4339783911226953E-01
  0.4250000000000000E-01  0.0000000000000000E+00  0.7260978408864099E-01  0.7261503592879286E-01 -0.7261508450876988E-01  0.6065129843299876E-30  0.4269709440766809E-01
  0.4500000000000000E-01  0.0000000000000000E+00  0.7052454097969524E-01  0.7052976952200546E-01 -0.7052981810157916E-01  0.2905042382583331E-29  0.4198463709842241E-01
  0.4750000000000000E-01  0.0000000000000000E+00  0.6847256713995976E-01  0.6847777290520124E-01 -0.6847782148433226E-01 -0.1471391769735951E-29  0.4126387623282638E-01
  0.5000000000000000E-01  0.0000000000000000E+00  0.6646130407964757E-01  0.6646648758645822E-01 -0.6646653616510546E-01  0.2623249181831153E-29  0.4053795637423546E-01
  0.5250000000000000E-01  0.0000000000000000E+00  0.6449663917500766E-01  0.6450180093721657E-01 -0.6450184951533745E-01 -0.3359510136859576E-29  0.3980974422666138E-01
  0.5500000000000000E-01  0.0000000000000000E+00  0.6258308136018038E-01  0.6258822188464233E-01 -0.6258827046219288E-01 -0.2352336933038431E-29  0.3908182383717115E-01
  0.5750000000000000E-01  0.0000000000000000E+00  0.6072393638305845E-01  0.6072905616790465E-01 -0.6072910474483938E-01 -0.3045008520401063E-29  0.3835649894012097E-01
  0.6000000000000000E-01  0.0000000000000000E+00  0.5892147512736891E-01  0.5892657466060688E-01 -0.5892662323687885E-01  0.2772438260744633E-29  0.3763580099313769E-01
  0.6250000000000000E-01  0.0000000000000000E+00  0.5717709069722385E-01  0.5718217045563800E-01 -0.5718221903119924E-01  0.8357890707454090E-30  0.3692150153002218E-01
  0.6500000000000000E-01  0.0000000000000000E+00  0.5549144172009982E-01  0.5549650216841220E-01 -0.5549655074321331E-01 -0.1401762190698768E-29  0.3621512758989503E-01
  0.6750000000000000E-01  0.0000000000000000E+00  0.5386458067181845E-01  0.5386962226207286E-01 -0.5386967083606312E-01  0.1829108031904325E-29  0.3551797914832280E-01
  0.7000000000000001E-01  0.0000000000000000E+00  0.5229606701135454E-01  0.5230109018249538E-01 -0.5230113875562308E-01  0.3689144735753216E-29  0.3483114765395261E-01
  0.7250000000000000E-01  0.0000000000000000E+00  0.5078506559528530E-01  0.5079007077290320E-01 -0.5079011934511545E-01 -0.2352336933038431E-29  0.3415553494862521E-01
