# 
# Solution parameters:
# - rh = 0.179026
# - Omega_H = 0.998200
# - m = 1
#
# Convention for Wbar = r^p * W
# - p = 2
#
# Physical quantities
# - M = 0.12769244
# - J = 0.0346921
# - MH/M = 0.754980
# - JH/J = 0.0998357
# - L99 = 649.372
# - L99/Le = 535.438
#
  0.0000000000000000E+00  0.0000000000000000E+00  0.5701332269649245E-01  0.5701331497424563E-01 -0.5701551350367981E-01  0.0000000000000000E+00  0.3199246822768947E-01
  0.1251564455569462E-02  0.0000000000000000E+00  0.5701156606919741E-01  0.5701155834670687E-01 -0.5701375687613866E-01  0.0000000000000000E+00  0.3199188015245943E-01
  0.2503128911138924E-02  0.0000000000000000E+00  0.5700627942014053E-01  0.5700627169737725E-01 -0.5700847022680194E-01  0.0000000000000000E+00  0.3199011021819989E-01
  0.3754693366708385E-02  0.0000000000000000E+00  0.5699743878752008E-01  0.5699743106466680E-01 -0.5699962959407964E-01  0.0000000000000000E+00  0.3198715011288416E-01
  0.5006257822277847E-02  0.0000000000000000E+00  0.5698502182692121E-01  0.5698501410414238E-01 -0.5698721263353845E-01  0.0000000000000000E+00  0.3198299186757902E-01
  0.6257822277847309E-02  0.0000000000000000E+00  0.5696900784836195E-01  0.5696900012582868E-01 -0.5697119865520308E-01  0.0000000000000000E+00  0.3197762786483639E-01
  0.7509386733416771E-02  0.0000000000000000E+00  0.5694937785234223E-01  0.5694937013022305E-01 -0.5695156865957088E-01  0.0000000000000000E+00  0.3197105084728871E-01
  0.8760951188986232E-02  0.0000000000000000E+00  0.5692611456385291E-01  0.5692610684231061E-01 -0.5692830537162687E-01  0.0000000000000000E+00  0.3196325392592650E-01
  0.1001251564455569E-01  0.0000000000000000E+00  0.5689920246440457E-01  0.5689919474360189E-01 -0.5690139327288151E-01  0.0000000000000000E+00  0.3195423058812447E-01
  0.1126408010012516E-01  0.0000000000000000E+00  0.5686862782198773E-01  0.5686862010208438E-01 -0.5687081863132221E-01  0.0000000000000000E+00  0.3194397470540378E-01
  0.1251564455569462E-01  0.0000000000000000E+00  0.5683437871890524E-01  0.5683437100005898E-01 -0.5683656952924998E-01  0.0000000000000000E+00  0.3193248054092940E-01
  0.1376720901126408E-01  0.0000000000000000E+00  0.5679644507731640E-01  0.5679643735968171E-01 -0.5679863588882066E-01  0.0000000000000000E+00  0.3191974275668562E-01
  0.1501877346683354E-01  0.0000000000000000E+00  0.5675481868249251E-01  0.5675481096622186E-01 -0.5675700949530354E-01  0.0000000000000000E+00  0.3190575642035667E-01
  0.1627033792240300E-01  0.0000000000000000E+00  0.5670949320370022E-01  0.5670948548894379E-01 -0.5671168401796276E-01  0.0000000000000000E+00  0.3189051701189302E-01
  0.1752190237797246E-01  0.0000000000000000E+00  0.5666046421257978E-01  0.5666045649948424E-01 -0.5666265502843511E-01  0.0000000000000000E+00  0.3187402042971135E-01
  0.1877346683354193E-01  0.0000000000000000E+00  0.5660772919905955E-01  0.5660772148777138E-01 -0.5660992001664853E-01  0.0000000000000000E+00  0.3185626299657272E-01
  0.2002503128911139E-01  0.0000000000000000E+00  0.5655128758468014E-01  0.5655127987534410E-01 -0.5655347840414187E-01  0.0000000000000000E+00  0.3183724146508488E-01
  0.2127659574468085E-01  0.0000000000000000E+00  0.5649114073332762E-01  0.5649113302608592E-01 -0.5649333155479876E-01  0.0000000000000000E+00  0.3181695302284330E-01
  0.2252816020025031E-01  0.0000000000000000E+00  0.5642729195927760E-01  0.5642728425427023E-01 -0.5642948278289239E-01  0.0000000000000000E+00  0.3179539529716811E-01
  0.2377972465581978E-01  0.0000000000000000E+00  0.5635974653258870E-01  0.5635973882995367E-01 -0.5636193735847939E-01  0.0000000000000000E+00  0.3177256635946583E-01
  0.2503128911138924E-01  0.0000000000000000E+00  0.5628851168173341E-01  0.5628850398160559E-01 -0.5629070251002882E-01  0.0000000000000000E+00  0.3174846472915871E-01
  0.2628285356695870E-01  0.0000000000000000E+00  0.5621359659353571E-01  0.5621358889604772E-01 -0.5621578742436262E-01  0.0000000000000000E+00  0.3172308937722151E-01
  0.2753441802252816E-01  0.0000000000000000E+00  0.5613501241034885E-01  0.5613500471563287E-01 -0.5613720324383318E-01  0.0000000000000000E+00  0.3169643972928615E-01
  0.2878598247809762E-01  0.0000000000000000E+00  0.5605277222447849E-01  0.5605276453266489E-01 -0.5605496306074433E-01  0.0000000000000000E+00  0.3166851566831329E-01
  0.3003754693366708E-01  0.0000000000000000E+00  0.5596689106986567E-01  0.5596688338108242E-01 -0.5596908190903469E-01  0.0000000000000000E+00  0.3163931753682967E-01
  0.3128911138923655E-01  0.0000000000000000E+00  0.5587738591100566E-01  0.5587737822537873E-01 -0.5587957675319737E-01  0.0000000000000000E+00  0.3160884613870597E-01
  0.3254067584480601E-01  0.0000000000000000E+00  0.5578427562915312E-01  0.5578426794680588E-01 -0.5578646647448426E-01  0.0000000000000000E+00  0.3157710274048844E-01
  0.3379224030037547E-01  0.0000000000000000E+00  0.5568758100582574E-01  0.5568757332687937E-01 -0.5568977185441081E-01  0.0000000000000000E+00  0.3154408907227144E-01
  0.3504380475594493E-01  0.0000000000000000E+00  0.5558732470365963E-01  0.5558731702823374E-01 -0.5558951555561134E-01  0.0000000000000000E+00  0.3150980732811996E-01
  0.3629536921151439E-01  0.0000000000000000E+00  0.5548353124461925E-01  0.5548352357283158E-01 -0.5548572210004849E-01  0.0000000000000000E+00  0.3147426016601803E-01
