# a (vacuum) Kerr BH in the region of non-uniqueness;
#                   - the input parameters are:  (r_H=0.3; Omega_H=0.7735026918962606)
#                   - j := J/M^2 = 0.5
#                   - ct = -0.023205080757052847
#                   - M = 0.173205080757053
#                   - J = 0.015
#
  0.0000000000000000E+00   0.0000000000000000E+00   0.1091728041283555E+00   0.1091728041283556E+00  -0.1091728041283556E+00   0.0000000000000000E+00   0.7735026918962623E+00
  0.2506265664160401E-02   0.0000000000000000E+00   0.1091681056317188E+00   0.1091681056317188E+00  -0.1091681056317188E+00   0.0000000000000000E+00   0.7734339023690813E+00
  0.5012531328320802E-02   0.0000000000000000E+00   0.1091539186109251E+00   0.1091539186109250E+00  -0.1091539186109250E+00   0.0000000000000000E+00   0.7732262087321307E+00
  0.7518796992481203E-02   0.0000000000000000E+00   0.1091301092386894E+00   0.1091301092386893E+00  -0.1091301092386893E+00   0.0000000000000000E+00   0.7728776975590720E+00
  0.1002506265664160E-01   0.0000000000000000E+00   0.1090965485399596E+00   0.1090965485399596E+00  -0.1090965485399596E+00   0.0000000000000000E+00   0.7723865587455157E+00
  0.1253132832080200E-01   0.0000000000000000E+00   0.1090531126736895E+00   0.1090531126736895E+00  -0.1090531126736895E+00   0.0000000000000000E+00   0.7717510909987659E+00
  0.1503759398496241E-01   0.0000000000000000E+00   0.1089996832117076E+00   0.1089996832117076E+00  -0.1089996832117076E+00   0.0000000000000000E+00   0.7709697072279765E+00
  0.1754385964912281E-01   0.0000000000000000E+00   0.1089361474137710E+00   0.1089361474137710E+00  -0.1089361474137710E+00   0.0000000000000000E+00   0.7700409398135123E+00
  0.2005012531328321E-01   0.0000000000000000E+00   0.1088623984978788E+00   0.1088623984978789E+00  -0.1088623984978789E+00   0.0000000000000000E+00   0.7689634457339999E+00
  0.2255639097744361E-01   0.0000000000000000E+00   0.1087783359049014E+00   0.1087783359049014E+00  -0.1087783359049014E+00   0.0000000000000000E+00   0.7677360115294209E+00
  0.2506265664160401E-01   0.0000000000000000E+00   0.1086838655565841E+00   0.1086838655565841E+00  -0.1086838655565841E+00   0.0000000000000000E+00   0.7663575580785003E+00
  0.2756892230576441E-01   0.0000000000000000E+00   0.1085789001059644E+00   0.1085789001059644E+00  -0.1085789001059644E+00   0.0000000000000000E+00   0.7648271451687368E+00
  0.3007518796992481E-01   0.0000000000000000E+00   0.1084633591792566E+00   0.1084633591792566E+00  -0.1084633591792566E+00   0.0000000000000000E+00   0.7631439758376036E+00
  0.3258145363408521E-01   0.0000000000000000E+00   0.1083371696082581E+00   0.1083371696082581E+00  -0.1083371696082581E+00   0.0000000000000000E+00   0.7613074004637429E+00
  0.3508771929824561E-01   0.0000000000000000E+00   0.1082002656523388E+00   0.1082002656523388E+00  -0.1082002656523388E+00   0.0000000000000000E+00   0.7593169205874619E+00
  0.3759398496240601E-01   0.0000000000000000E+00   0.1080525892091011E+00   0.1080525892091011E+00  -0.1080525892091011E+00   0.0000000000000000E+00   0.7571721924403901E+00
  0.4010025062656641E-01   0.0000000000000000E+00   0.1078940900128086E+00   0.1078940900128086E+00  -0.1078940900128086E+00   0.0000000000000000E+00   0.7548730301648940E+00
  0.4260651629072681E-01   0.0000000000000000E+00   0.1077247258197196E+00   0.1077247258197196E+00  -0.1077247258197196E+00   0.0000000000000000E+00   0.7524194087046868E+00
  0.4511278195488722E-01   0.0000000000000000E+00   0.1075444625794843E+00   0.1075444625794843E+00  -0.1075444625794843E+00   0.0000000000000000E+00   0.7498114663490715E+00
  0.4761904761904762E-01   0.0000000000000000E+00   0.1073532745918117E+00   0.1073532745918117E+00  -0.1073532745918117E+00   0.0000000000000000E+00   0.7470495069143509E+00
  0.5012531328320802E-01   0.0000000000000000E+00   0.1071511446476471E+00   0.1071511446476471E+00  -0.1071511446476471E+00   0.0000000000000000E+00   0.7441340015472091E+00
  0.5263157894736842E-01   0.0000000000000000E+00   0.1069380641541557E+00   0.1069380641541557E+00  -0.1069380641541557E+00   0.0000000000000000E+00   0.7410655901362174E+00
  0.5513784461152882E-01   0.0000000000000000E+00   0.1067140332428566E+00   0.1067140332428566E+00  -0.1067140332428566E+00   0.0000000000000000E+00   0.7378450823191056E+00
  0.5764411027568922E-01   0.0000000000000000E+00   0.1064790608603165E+00   0.1064790608603165E+00  -0.1064790608603165E+00   0.0000000000000000E+00   0.7344734580750315E+00
  0.6015037593984962E-01   0.0000000000000000E+00   0.1062331648408608E+00   0.1062331648408608E+00  -0.1062331648408608E+00   0.0000000000000000E+00   0.7309518678927813E+00
  0.6265664160401002E-01   0.0000000000000000E+00   0.1059763719608451E+00   0.1059763719608451E+00  -0.1059763719608451E+00   0.0000000000000000E+00   0.7272816325075927E+00
  0.6516290726817042E-01   0.0000000000000000E+00   0.1057087179740811E+00   0.1057087179740811E+00  -0.1057087179740811E+00   0.0000000000000000E+00   0.7234642422011864E+00
  0.6766917293233082E-01   0.0000000000000000E+00   0.1054302476281008E+00   0.1054302476281008E+00  -0.1054302476281008E+00   0.0000000000000000E+00   0.7195013556614813E+00
  0.7017543859649122E-01   0.0000000000000000E+00   0.1051410146610063E+00   0.1051410146610063E+00  -0.1051410146610063E+00   0.0000000000000000E+00   0.7153947984004885E+00
  0.7268170426065163E-01   0.0000000000000000E+00   0.1048410817787366E+00   0.1048410817787366E+00  -0.1048410817787366E+00   0.0000000000000000E+00   0.7111465607308746E+00
  0.7518796992481203E-01   0.0000000000000000E+00   0.1045305206126674E+00   0.1045305206126673E+00  -0.1045305206126673E+00   0.0000000000000000E+00   0.7067587953037534E+00
